name,description
Bachelor of Arts,UON
Bachelor of Architectural Studies/bachelor of Architecture,UON
Bachelor of Quantity Surveying,UON
Bachelor of Arts (Design),UON
Bachelor of Arts (Anthropology),UON
Bachelor of Science (Actuarial Science),UON
Bachelor of Science (Industrial Chemistry),UON
Bachelor of Science (Mathematics),UON
Bachelor of Science (Meteorology),UON
Bachelor of Science (Biology),UON
Bachelor of Science (Biochemistry),UON
Bachelor of Science (Geology),UON
Bachelor of Science (Computer Science),UON
Bachelor of Science (Civil Engineering),UON
Bachelor of Science (Electrical and Electronic Engineering),UON
Bachelor of Science (Mechanical Engineering),UON
Bachelor of Science (Geospatial Engineering),UON
Bachelor of Science (B.sc),UON
Bachelor of Science (Biosystems Engineering),UON
Bachelor of Science (Agriculture),UON
Bachelor of Science (Food Science and Technology),UON
Bachelor of Science (Range Management),UON
Bachelor of Science (Microprocessor Technology and Instrumentation),UON
Bachelor of Science (Astronomy and Astrophysics),UON
Bachelor of Dental Surgery,UON
Bachelor of Pharmacy,UON
Bachelor of Veterinary Medicine,UON
Bachelor of Medicine and Bachelor of Surgery,UON
Bachelor of Science (Nursing),UON
Bachelor of Commerce (B.Com),UON
Bachelor of Laws (LLB),UON
Bachelor of Education (Arts),UON
Bachelor of Education (Science),UON
Bachelor of Science (Wildlife Management),UON
Bachelor of Economics,UON
Bachelor of Science (Statistics),UON
Bachelor of Arts (Planning),UON
Bachelor of Construction Management,UON
Bachelor of Education (Early Childhood Education),UON
Bachelor of Science (Management of Agro-ecosystem and Environment),UON
Bachelor of Science (Horticulture),UON
Bachelor of Science (Environmental Conservation and Natural Resources Management),UON
Bachelor of Science (Agribusiness Management),UON
Bachelor of Science (Food Nutrition and Dietetics),UON
Bachelor of Science (Medical Laboratory Science & Technology),UON
Bachelor of Economics and Statistics,UON
Bachelor of Science (Microbiology and Biotechnology),UON
Bachelor of Real Estate,UON
Bachelor of Education (Physical Education and Sports),UON
Bachelor of Science (Agricultural Education and Extension),UON
Bachelor of Education (ICT),UON
Bachelor of Science (Leather Technology),UON
Bachelor of Science (Chemistry),UON
Bachelor of Science (Fisheries and Aquaculture Management),UON
Bachelor of Arts,KU
Bachelor of Architecture,KU
Bachelor of Science (Actuarial Science),KU
Bachelor of Science (Biology),KU
Bachelor of Science (Biochemistry),KU
Bachelor of Science (Analytical Chemistry With Management),KU
Bachelor of Science (Computer Science),KU
Bachelor of Science (Civil Engineering),KU
Bachelor of Science (B.sc),KU
Bachelor of Science (Agriculture),KU
Bachelor of Pharmacy,KU
Bachelor of Medicine & Bachelor of Surgery (M.B.Ch.B),KU
Bachelor of Commerce (B.Com),KU
Bachelor of Laws (LLB),KU
Bachelor of Education (Arts),KU
Bachelor of Education (Science),KU
Bachelor of Economics,KU
Bachelor of Science (Records Management and Information Technology),KU
Bachelor of Education (Special Needs Education),KU
Bachelor of Music,KU
Bachelor of Education (Arts) Music,KU
Bachelor of Science (Statistics & Programming),KU
Bachelor of Education (Arts) German,KU
Bachelor of Arts (Theater Arts & Film Technology),KU
Bachelor of Education (Early Childhood Education),KU
Bachelor of Science (Environmental Health),KU
"Bachelor of Science (Food, Nutrition & Dietetics)",KU
Bachelor of Science (Medical Laboratory Science),KU
Bachelor of Science (Occupational Health & Safety),KU
Bachelor of Science (Telecommunication & Inform. Tech),KU
Bachelor of Economics & Statistics,KU
Bachelor of Environmental Science,KU
Bachelor of Science (Agricultural Resource Management),KU
Bachelor of Science (Fashion Design & Marketing),KU
Bachelor of Science (Hospitality & Tourism Management),KU
Bachelor of Science (Biotechnology),KU
Bachelor of Environmental Studies and Community Development,KU
Bachelor of Information Technology,KU
Bachelor of Library & Information Science,KU
Bachelor of Arts (Psychology),KU
Bachelor of Science (Microbiology),KU
Bachelor of Education (Arts) French,KU
Bachelor of Science (Animal Health & Production),KU
Bachelor of Science (Real Estate),KU
Bachelor of Arts (Gender and Development),KU
Bachelor of Science (Mathematics & Computer Science),KU
Bachelor of Education Arts (Home Economics),KU
Bachelor of Environmental Planning & Management,KU
Bachelor of Education (Physical Education),KU
Bachelor of Arts (Counselling Psychology),KU
"Bachelor of Science (Dry Land, Agriculture & Enterprise Development)",KU
Bachelor of Science (Crop Improvement & Protection),KU
Bachelor of Science (Exercise & Sport Science),KU
Bachelor of Science (Molecular & Cellular Biology),KU
Bachelor of Communication and Media Studies,KU
Bachelor of Science (Spatial Management),KU
Bachelor of Science (Industrial Chemistry With Management),KU
Bachelor of Arts (Fine Arts),KU
Bachelor of Economics & Finance,KU
Bachelor of Science (Health Records & Information Mgt.),KU
Bachelor of Science (Coastal & Marine Resource Management,KU
Bachelor of Science (Population Health),KU
Bachelor of Science (Forensic Science),KU
Bachelor of Education (Arts) Fine Art,KU
Bachelor of Environmental Education,KU
Bachelor of Science (Recreation and Sports Management),KU
Bachelor of Science (Petroleum Engineering),KU
Bachelor of Science (Aerospace Engineering),KU
Bachelor of Science (Agribusiness Management),KU
Bachelor of Science (Conservation Biology),KU
Bachelor of Sciences (Mechanical & Manufacturing Engineering),KU
Bachelor of Science (Agricultural & Bio-systems Engineering),KU
Bachelor of Science (Energy Technology),KU
Bachelor of Science (Nursing),KU
Bachelor of Education (Library Science),KU
Bachelor of Health Services Management,KU
Bachelor of Public Policy and Administration,KU
Bachelor of Music (Technology),KU
Bachelor of Science (Biomedical Engineering),KU
Bachelor of Science (Construction Management),KU
Bachelor of Science (Community Resource Management),KU
Bachelor of Arts,MU
Bachelor of Science (Actuarial Science),MU
Bachelor of Science (Biochemistry),MU
Bachelor of Science (Computer Science),MU
Bachelor of Science (Bsc.),MU
Bachelor of Dental Surgery,MU
Bachelor of Medicine and Bachelor of Surgery (M.B.Ch.B),MU
Bachelor of Science (Nursing),MU
Bachelor of Laws (LL.B.),MU
Bachelor of Education (Arts),MU
Bachelor of Education (Science),MU
Bachelor of Arts (Social Work),MU
Bachelor of Science (Information Sciences),MU
Bachelor of Business Management,MU
Bachelor of Tourism Management,MU
Bachelor of Arts (Music),MU
Bachelor of Science (Applied Statistics With Computing),MU
Bachelor of Arts (French),MU
Bachelor of Arts (German),MU
Bachelor of Arts (Community Development),MU
Bachelor of Science (Communication and Journalism),MU
Bachelor of Science (Agri Business Management),MU
Bachelor of Science (Environmental Health),MU
Bachelor of Science (Human Resource Management),MU
Bachelor of Science (Medical Laboratory Science),MU
Bachelor of Arts (With Education),MU
Bachelor of Science (Agricultural Economics and Resource Management),MU
Bachelor of Hotels and Hospitality Management,MU
Bachelor of Environmental Studies (Arts),MU
Bachelor of Travel and Tours Operations Management,MU
Bachelor of Arts (Psychology),MU
Bachelor of Science (Microbiology),MU
Bachelor of Arts (Geography),MU
Bachelor of Science (Animal Science),MU
Bachelor of Science (Entrepreneurship Studies),MU
Bachelor of Arts (Kiswahili),MU
Bachelor of Education (Guidance and Counselling),MU
Bachelor of Science (Project Planning and Management),MU
Bachelor of Education (Technology Education),MU
Bachelor of Science (Counselling Psychology),MU
Bachelor of Science (Agricultural Extension Education),MU
Bachelor of Science With Education,MU
Bachelor of Science (Informatics),MU
Bachelor of Sports Management,MU
Bachelor of Science (Communication and Public Relations),MU
Bachelor of Business Management (Civil Aviation Management),MU
"Bachelor of Science (Graphic, Communication and Advertising)",MU
Bachelor of Science (Media Science),MU
Bachelor of Science (Strategic Management),MU
Bachelor of Education (Arts - Business Studies),MU
Bachelor of Science (Medical Psychology),MU
Bachelor of Business Management (Marine Business Management),MU
Bachelor of Science (Physical Therapy),MU
Bachelor of Science (Agricultural Biotechnology),MU
"Bachelor of Arts (Penology, Correction and Administration)",MU
Bachelor of Engineering (Chemical and Process Engineering),MU
Bachelor of Engineering (Industrial and Textile Engineering),MU
Bachelor of Engineering (Civil and Structural Engineering),MU
Bachelor of Engineering (Electrical and Electronics Engineering),MU
"Bachelor of Arts (Linguistics, Media and Communication)",MU
Bachelor of Arts (Economics),MU
Bachelor of Education (Special Needs Education - Secondary Option),MU
Bachelor of Engineering (Electrical and Telecommunication Engineering),MU
Bachelor of Engineering (Mechanical and Production Engineering),MU
Bachelor of Arts,EU
Bachelor of Science (Actuarial Science),EU
Bachelor of Science (Biochemistry),EU
Bachelor of Science (Computer Science),EU
Bachelor of Science,EU
Bachelor of Science (Agricultural Engineering),EU
Bachelor of Science (Agriculture),EU
Bachelor of Science (Food Science & Technology),EU
Bachelor of Veterinary Medicine,EU
Bachelor of Medicine & Bachelor of Surgery,EU
Bachelor of Commerce,EU
Bachelor of Laws (LLB),EU
Bachelor of Education (Arts),EU
Bachelor of Education (Science),EU
Bachelor of Science (Wildlife Enterprises & Management),EU
Bachelor of Science (Statistics),EU
Bachelor of Science (Water and Environmental Engineering),EU
Bachelor of Science in Soil Environment & Land Use Management),EU
Bachelor of Science (Horticulture),EU
Bachelor of Science (Food Nutrition & Dietetics),EU
Bachelor of Science (Biomedical Science & Technology),EU
Bachelor of Arts (Economics & Sociology),EU
Bachelor of Science (Economics & Statistics),EU
Bachelor of Science (Manufacturing Engineering & Technology),EU
Bachelor of Science (Environmental Sciences),EU
Bachelor of Science (Agricultural Economics),EU
Bachelor of Science (Clothing Textile & Interior Design),EU
Bachelor of Science (Ecotourism & Hospitality Management),EU
Bachelor of Science (Instrumentation & Control Engineering),EU
Bachelor of Psychology,EU
Bachelor of Science (Community Development),EU
Bachelor of Procurement and Supply Chain Management,EU
Bachelor of Science (Geography),EU
Bachelor of Science (Animal Science),EU
Bachelor of Arts (Gender),EU
Bachelor of Arts (History & Economics),EU
Bachelor of Science (Dairy Technology & Management),EU
Bachelor of Science (Agriculture & Human Ecology Extension),EU
